"N","ESX Version","ESX Build","Datacenter","Cluster","NIST800-53-VI-ESXi-CFG-00003","NIST800-53-VI-ESXi-CFG-00004","NIST800-53-VI-ESXi-CFG-00005","ESXI-70-000274","ESXI-70-000038","NIST800-53-VI-ESXi-CFG-00006","NIST800-53-VI-ESXi-CFG-00007","NIST800-53-VI-ESXi-CFG-00011","NIST800-53-VI-ESXi-CFG-00012","NIST800-53-VI-ESXi-CFG-00013","NIST800-53-VI-ESXi-CFG-00014","NIST800-53-VI-ESXi-CFG-00016","NIST800-53-VI-ESXi-CFG-00017","NIST800-53-VI-ESXi-CFG-00018","NIST800-53-VI-ESXi-CFG-00028","NIST800-53-VI-ESXi-CFG-00030","NIST800-53-VI-ESXi-CFG-00031","VCSA-80-000023","NIST800-53-VI-ESXi-CFG-00038","NIST800-53-VI-ESXi-CFG-00043","NIST800-53-VI-ESXi-CFG-00105","NIST800-53-VI-ESXi-CFG-00106","VCSA-80-000070","NIST800-53-VI-ESXi-CFG-00110","NIST800-53-VI-ESXi-CFG-00112a","NIST800-53-VI-ESXi-CFG-00112b","NIST800-53-VI-ESXi-CFG-00114","NIST800-53-VI-ESXi-CFG-00122","NIST800-53-VI-ESXi-CFG-00123","NIST800-53-VI-ESXi-CFG-00124","NIST800-53-VI-ESXi-CFG-00125","NIST800-53-VI-ESXi-CFG-00129","NIST800-53-VI-ESXi-CFG-00136","NIST800-53-VI-ESXi-CFG-00137","NIST800-53-VI-ESXi-CFG-00138","NIST800-53-VI-ESXi-CFG-00147","NIST800-53-VI-ESXi-CFG-00148","NIST800-53-VI-ESXi-CFG-00149","NIST800-53-VI-ESXi-CFG-00157","NIST800-53-VI-ESXi-CFG-00163","NIST800-53-VI-ESXi-CFG-00164","NIST800-53-VI-ESXi-CFG-00165","NIST800-53-VI-ESXi-CFG-00166","NIST800-53-VI-ESXi-CFG-00168","NIST800-53-VI-ESXi-CFG-00169","NIST800-53-VI-ESXi-CFG-00179","NIST800-53-VI-ESXi-CFG-00564","NIST800-53-VI-ESXi-CFG-01100","NIST800-53-VI-ESXi-CFG-01102","NIST800-53-VI-ESXi-CFG-01106","NIST800-53-VI-ESXi-CFG-01107","NIST800-53-VI-ESXi-CFG-01108","NIST800-53-VI-ESXi-CFG-01109","NIST800-53-VI-ESXi-CFG-01110","NIST800-53-VI-ESXi-CFG-01111","NIST800-53-VI-ESXi-CFG-01112","NIST800-53-VI-ESXi-CFG-01113","NIST800-53-VI-ESXi-CFG-00022","NIST800-53-VI-ESXi-CFG-01114","NIST800-53-VI-ESXi-CFG-01115","NIST800-53-VI-ESXi-CFG-01116","NIST800-53-VI-ESXi-CFG-01117","NIST800-53-VI-ESXi-CFG-01118","NIST800-53-VI-ESXi-CFG-01119"
"VMware ID","ESX Version","ESX Build","Datacenter","Cluster","NIST800-53-VI-ESXi-CFG-00003","NIST800-53-VI-ESXi-CFG-00004","NIST800-53-VI-ESXi-CFG-00005","ESXI-70-000274","ESXI-70-000038","NIST800-53-VI-ESXi-CFG-00006","NIST800-53-VI-ESXi-CFG-00007","NIST800-53-VI-ESXi-CFG-00011","NIST800-53-VI-ESXi-CFG-00012","NIST800-53-VI-ESXi-CFG-00013","NIST800-53-VI-ESXi-CFG-00014","NIST800-53-VI-ESXi-CFG-00016","NIST800-53-VI-ESXi-CFG-00017","NIST800-53-VI-ESXi-CFG-00018","NIST800-53-VI-ESXi-CFG-00028","NIST800-53-VI-ESXi-CFG-00030","NIST800-53-VI-ESXi-CFG-00031","VCSA-80-000023","NIST800-53-VI-ESXi-CFG-00038","NIST800-53-VI-ESXi-CFG-00043","NIST800-53-VI-ESXi-CFG-00105","NIST800-53-VI-ESXi-CFG-00106","VCSA-80-000070","NIST800-53-VI-ESXi-CFG-00110","NIST800-53-VI-ESXi-CFG-00112a","NIST800-53-VI-ESXi-CFG-00112b","NIST800-53-VI-ESXi-CFG-00114","NIST800-53-VI-ESXi-CFG-00122","NIST800-53-VI-ESXi-CFG-00123","NIST800-53-VI-ESXi-CFG-00124","NIST800-53-VI-ESXi-CFG-00125","NIST800-53-VI-ESXi-CFG-00129","NIST800-53-VI-ESXi-CFG-00136","NIST800-53-VI-ESXi-CFG-00137","NIST800-53-VI-ESXi-CFG-00138","NIST800-53-VI-ESXi-CFG-00147","NIST800-53-VI-ESXi-CFG-00148","NIST800-53-VI-ESXi-CFG-00149","NIST800-53-VI-ESXi-CFG-00157","NIST800-53-VI-ESXi-CFG-00163","NIST800-53-VI-ESXi-CFG-00164","NIST800-53-VI-ESXi-CFG-00165","NIST800-53-VI-ESXi-CFG-00166","NIST800-53-VI-ESXi-CFG-00168","NIST800-53-VI-ESXi-CFG-00169","NIST800-53-VI-ESXi-CFG-00179","NIST800-53-VI-ESXi-CFG-00564","NIST800-53-VI-ESXi-CFG-01100","NIST800-53-VI-ESXi-CFG-01102","NIST800-53-VI-ESXi-CFG-01106","NIST800-53-VI-ESXi-CFG-01107","NIST800-53-VI-ESXi-CFG-01108","NIST800-53-VI-ESXi-CFG-01109","NIST800-53-VI-ESXi-CFG-01110","NIST800-53-VI-ESXi-CFG-01111","NIST800-53-VI-ESXi-CFG-01112","NIST800-53-VI-ESXi-CFG-01113","NIST800-53-VI-ESXi-CFG-00022","NIST800-53-VI-ESXi-CFG-01114","NIST800-53-VI-ESXi-CFG-01115","NIST800-53-VI-ESXi-CFG-01116","NIST800-53-VI-ESXi-CFG-01117","NIST800-53-VI-ESXi-CFG-01118","NIST800-53-VI-ESXi-CFG-01119"
"Nist Citation","N/A","N/A","N/A","N/A","CM-6b.","CM-6b.","CM-6b.","SC-13","IA-2","ESXi host SSH daemon rejects authentication using an empty password.","CM-6b.","CM-6b.","Disallow compression for the ESXi host SSH daemon.","CM-6b.","CM-6b.","CM-6b.","","CM-6b.","SC-7(5)","CM-11(1)","AC-17(4)(a)","AC-7a.","AC-12 Control","CM-6b.","SC-7(5)","SC-7(5)","IA-5(1)(e)","SC-13 Control","CM-7a","CM-7a","IA-2 Control","AC-8a.","AC-8a.","AC-8a.","AC-6(1)","CM-6","AU-9 Control","IA-2 Control","IA-2 Control","AU-8(1)(a)","AU-8(1)(a)","AU-8(1)(a)","CM-5(3)","CM-6b","AU-9(2)","AC-7b","CM-7a.","AC-12 Control","CM-7a","AU-3 Control","AC-11a","SC-12(2)","CM-6b","A.9.2.3 Control","SC-23","CM-6b","CM-6b","CM-11(1)","CM-6b","CM-6b","Not Applicable","IA-5(1)(a)","CM-7a","SC-17","SC-12","SC-23(5)","N/A","N/A"
"Description","Check ESX Version","Check ESX Build","N/A","N/A","ESXi host SSH daemon ignores .rhosts files.","ESXi host SSH daemon does not allow host-based authentication.","The ESXi host SSH daemon must not permit root logins.","ESXi host SSH daemon must be configured to only use FIPS 140-2 validated ciphers","ESXi hosts using Host Profiles and/or Auto Deploy must use the vSphere Authentication Proxy to protect passwords when adding themselves to Active Directory","ESXi host SSH daemon rejects authentication using an empty password.","ESXi host SSH daemon does not permit user environment settings.","ESXi host SSH daemon performs strict mode checking of home directory configuration files.","Disallow compression for the ESXi host SSH daemon.","ESXi host SSH daemon does not contain gateway ports.","ESXi host SSH daemon refuses X11 forwarding.","ESXi host SSH daemon refuses tunnels.","ESXi host SSH daemon sets an idle session timeout count.","ESXi host SSH daemon sets an idle session timeout interval.","Configure the ESXi hosts firewall to only allow traffic from the ESXi management network.","Show warnings in the vSphere Client if local or remote shell sessions are enabled on the ESXi hosts.","Enable Normal lockdown mode on the host.","Set the maximum number of failed login attempts before an account is locked.","Configure the inactivity timeout to automatically terminate idle shell sessions.","Enable the Bridge Protocol Data Unit (BPDU) filter.","The ESXi host must configure the firewall to block incoming network traffic by default.","The ESXi host must configure the firewall to block outgoing network traffic by default.","Configure the password history setting to restrict the reuse of passwords.","The password hashes stored on the ESXi host must have been generated using a FIPS 140-2 approved cryptographic hashing algorithm.","Stop the ESXi shell service.","Set the ESXi shell service startup policy to OFF.","Join ESXi hosts to an Active Directory (AD) domain to eliminate the need to create and maintain multiple local user accounts.","Configure the login banner for the DCUI of the ESXi host.","Configure the login banner for SSH Connections.","The ESXi host SSH daemon must be configured with an approved login banner.","The ESXi host must verify the exception users list for lockdown mode.","Install Security Patches and Updates for ESXi hosts.","Configure a persistent log location for all locally stored logs","Use an Active Directory group instead of the default ""ESX Admins""","The ESXi host must disable Inter-VM transparent page sharing","The ESXi host must configure NTP Time Synchronization.","Verify NTP Daemon Policy is On.","Verify NTP Daemon is running.","The ESXi Image Profile and VIB Acceptance Levels must be verified.","ESXI Host must verify DCUI Access List.","Configure a remote log server for the ESXi hosts","The ESXi host must enforce an unlock timeout after a user account is locked out","The ESXi host must disable the Managed Object Browser (MOB).","Set a timeout to automatically terminate idle DCUI sessions","Use of the dvFilter network APIs must be restricted","ESXi host must produce audit records containing information to establish what type of events occurred","ESXi host must configure host client session timeout","Verify if only FIPS-Approved ciphers are in use","Enable bidirectional CHAP authentication for iSCSI traffic","Do not provide root or administrator level access to CIM-based hardware monitoring tools","The ESXi host must exclusively enable TLS 1.2 for all endpoints","Enable secure boot on the host","Configure the ESXi hosts to only run executable files from approved VIBs","The ESXi host must not suppress warnings about unmitigated hyperthreading vulnerabilities","Disable port forwarding for the ESXi host SSH daemon","Disable the OpenSLP service on the host","The ESXi host must use approved certificates","The ESXi host must enforce password complexity.","SNMP must be configured properly on the ESXi host.","The ESXi host must verify certificates for SSL syslog endpoints.","The ESXi host must configure a session timeout for the vSphere API.","The ESXi host rhttpproxy daemon must use FIPS 140-2 validated cryptographic modules to protect the confidentiality of remote access sessions.","The ESXi host must not be configured to override virtual machine configurations.","The ESXi host must not be configured to override virtual machine logger settings."
"Finding","Variation of Versions","Variation of Build Versions","N/A","N/A","SSH ignore .rhosts no","Should not be set to hostbasedauthentication YES","Should not be set to permitrootlogin yes","output does not match the expected result, this is a finding.","If the organization is not using Host Profiles to join Active Directory, this is not applicable. If ""JoinADEnabled"" is ""True"" and ""JoinDomainMethod"" is not ""FixedCAMConfigOption"", this is a finding.","If SSH Permits Empty Passwords","SSH Permits User Env Settings","Stricmode set to NO","Compression set to YES","Allow Gatewayports set to YES","SSH x11forwarding set to YES","SSH permittunnel set to YES","SSH clientalivecountmax not 3","SSH clientaliveinterval > 300","AllIPEnabled for SSH is TRUE","Suppress Shell Warning set to 0","Lockdown Mode Disabled","Greater than 3","Greater than 600 Seconds","0","Incoming Policy set to TRUE","Outgoing Policy set to TRUE","Less than 5","Non FIPS 140-2 Compliant Hash","ESX Shell Running","ESX Shell Startup Policy ON","Not AD Joined or DomainMembershipStatus not ""Ok","If Annotations.WelcomeMessage is not set to the specified banner, this is a finding.","If Config.Etc.issue is not set to the specified banner, this is a finding.","Not Set","Non essential users","Outdated Patches","Configure a persistent log location for all locally stored logs","Use an Active Directory group instead of the default ESX Admins","The ESXi host must disable Inter-VM transparent page sharing","NTP Time Synchromization","NTP Daemon Policy","NTP Daemon Status","VIB Acceptance Level CommunitySupported","ESXI Host DCUI Access List","Configure a remote log server for the ESXi hosts","Unlock TImeout after user account is locked out","MOB Enabled","Timeout configured to automatically terminate idle DCUI sessions","Use of the dvFilter network APIs must be restricted","Audit Records - Events Log Level","ESXi host must configure host client session timeout","ESXi host SSH daemon must use FIPS 140-2 validated cryptographic modules","Enable bidirectional CHAP authentication for iSCSI traffic","If there is no dedicated CIM service account orthe CIM service account has more permissions than necessary, this is a finding.    ","Disabled TLS Protocols","Enable secure boot on the host","Configure the ESXi hosts to only run executable files from approved VIB","The ESXi host must not suppress warnings about unmitigated hyperthreading vulnerabilities","Disable port forwarding for the ESXi host SSH daemon","Disable the OpenSLP service on the host","If the issuer is not an approved certificate authority, this is a finding. If the host will never be accessed directly ","If the Security.PasswordQualityControl setting is not set to ""similar=deny retry=3 min=disabled,disabled,disabled,disabled,15"", this is a finding.","If SNMP is not in use and is enabled, is enabled and read only communities is set to ""public"", or is enabled and is not using v3 targets, this is a finding.","If the ""Syslog.global.logCheckSSLCerts"" setting is not set to ""true"", this is a finding.","If the ""Config.HostAgent.vmacore.soap.sessionTimeout"" setting is not set to ""30"", this is a finding.","If the output does not match the expected result, this is a finding.","If the output does not match the expected result, this is a finding.","If the command produces any output, this is a finding."
"Expected Result","Site Specific","Site Specific","Site Specific","Site Specific","ignorerhosts yes","hostbasedauthentication no","permitrootlogin no","ciphers aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr","""Join Domain Method"" to ""Use vSphere Authentication Proxy to add the host to domain"" and provide the IP address of the vSphere Authentication Proxy server","permitemptypasswords no","permituserenvironment no","strictmodes yes","compression no","gatewayports no","x11forwarding no","permittunnel no","clientalivecountmax 3","clientaliveinterval 300","False","1","lockdownEnabled","3","600","1","FALSE","FALSE","5","sha512","False","off"," Ok","Not Blank","Set","banner /etc/issue","root","Site Specific","true","ESX Admins","2","Authorized Time Source","on","True","PartnerSupported VMwareAccepted VMwareCertified","root","Configured Syslog Servers","900","False","600","","info","900","FIPSMode yes","","Manual Verification","sslv3,tlsv1,tlsv1.1","Enabled","True","0","allowtcpforwarding no","slpd off","Manual Verification","similar=deny retry=3 min=disabled,disabled,disabled,disabled,15","Site Specific","TRUE","30","Enabled: TRUE","0","NULL"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"apcmv1-c1-esxi01.apc.ntrs.com","7.0.3","21930508","apcmv1-c1-dc","apcmv1-c1","ignorerhosts yes","hostbasedauthentication no","permitrootlogin yes","ciphers aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr","","permitemptypasswords no","permituserenvironment no","strictmodes yes","compression no","gatewayports no","x11forwarding no","permittunnel no","clientalivecountmax 3","clientaliveinterval 200","True","1","lockdownDisabled","5","0","0","False","False","0","sha512","True","on","ENT.AD.NTRS.COM [Ok]","{align:center}VxRail P570F Appliance{/align}



PSNT:         
Service Tag:  {serial-number}
Physical Mem: {memory}

IP Address:   {ip}
Hostname:     {hostname}

{esxproduct}:  {esxversion}

                                                                                                                            
{bgcolor:yellow}{color:black}
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
{/color}{/bgcolor:yellow}

{bgcolor:light-grey}{color:black}

Installation Status: VxRail Appliance Installation Successfully Completed.

{/bgcolor}{/color}

License:           {license}
Support Period:    {supportperiod}
Support Start:     {supportstart}








<F2> To Configure System                                                                             <F12> To Reboot System
","Not Set","banner /etc/issue","da-user","","true","VVC-A-P-ESX-Admin-DTMS","2","ntp.ntrs.com","on","True","PartnerSupported","root","udp://10.176.10.130:514,udp://npc1uv00vco22.ent.ad.ntrs.com:514","900","False","600","","info","900","FipsMode yes","","Manual Verification","sslv3,tlsv1,tlsv1.1","Enabled","False","0","allowtcpforwarding no","slpd                    off","Manual Verification","retry=3 min=disabled,disabled,disabled,7,7","","True","30","true","0",""
"apcmv1-c1-esxi02.apc.ntrs.com","7.0.3","21930508","apcmv1-c1-dc","apcmv1-c1","ignorerhosts yes","hostbasedauthentication no","permitrootlogin yes","ciphers aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr","","permitemptypasswords no","permituserenvironment no","strictmodes yes","compression no","gatewayports no","x11forwarding no","permittunnel no","clientalivecountmax 3","clientaliveinterval 200","True","0","lockdownDisabled","5","0","0","False","False","0","sha512","True","off","ENT.AD.NTRS.COM [Ok]","{align:center}VxRail P570F Appliance{/align}



PSNT:         
Service Tag:  {serial-number}
Physical Mem: {memory}

IP Address:   {ip}
Hostname:     {hostname}

{esxproduct}:  {esxversion}

                                                                                                                            
{bgcolor:yellow}{color:black}
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
{/color}{/bgcolor:yellow}

{bgcolor:light-grey}{color:black}

Installation Status: VxRail Appliance Installation Successfully Completed.

{/bgcolor}{/color}

License:           {license}
Support Period:    {supportperiod}
Support Start:     {supportstart}








<F2> To Configure System                                                                             <F12> To Reboot System
","Not Set","banner /etc/issue","esximgmt","","true","VVC-A-P-ESX-Admin-DTMS","2","ntp.ntrs.com","on","True","PartnerSupported","root","udp://10.176.10.130:514,udp://npc1uv00vco22.ent.ad.ntrs.com:514","900","False","600","","info","900","FipsMode yes","","Manual Verification","sslv3,tlsv1,tlsv1.1","Enabled","False","0","allowtcpforwarding no","slpd                    off","Manual Verification","retry=3 min=disabled,disabled,disabled,7,7","","True","30","true","0",""
"apcmv1-c1-esxi03.apc.ntrs.com","7.0.3","21930508","apcmv1-c1-dc","apcmv1-c1","ignorerhosts yes","hostbasedauthentication no","permitrootlogin yes","ciphers aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr","","permitemptypasswords no","permituserenvironment no","strictmodes yes","compression no","gatewayports no","x11forwarding no","permittunnel no","clientalivecountmax 3","clientaliveinterval 200","True","0","lockdownDisabled","5","0","0","False","False","0","sha512","True","off","ENT.AD.NTRS.COM [Ok]","{align:center}VxRail P570F Appliance{/align}



PSNT:         
Service Tag:  {serial-number}
Physical Mem: {memory}

IP Address:   {ip}
Hostname:     {hostname}

{esxproduct}:  {esxversion}

                                                                                                                            
{bgcolor:yellow}{color:black}
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
                                                                                                                            
{/color}{/bgcolor:yellow}

{bgcolor:light-grey}{color:black}

Installation Status: VxRail Appliance Installation Successfully Completed.

{/bgcolor}{/color}

License:           {license}
Support Period:    {supportperiod}
Support Start:     {supportstart}








<F2> To Configure System                                                                             <F12> To Reboot System
","Not Set","banner /etc/issue","mux_user","","true","VVC-A-P-ESX-Admin-DTMS","2","ntp.ntrs.com","on","True","PartnerSupported","root","udp://10.176.10.130:514,udp://npc1uv00vco22.ent.ad.ntrs.com:514","900","False","600","","info","900","FipsMode yes","","Manual Verification","sslv3,tlsv1,tlsv1.1","Enabled","False","0","allowtcpforwarding no","slpd                    off","Manual Verification","retry=3 min=disabled,disabled,disabled,7,7","","True","30","true","0",""
