"N","VMCH-80-000204","VMCH-80-000197","NIST800-53-VI-VC-CFG-XX104","NIST800-53-VI-VC-CFG-00065 - 67 & 00156","VMCH-80-000209","VMCH-80-000199","VMCH-80-000191","VMCH-80-000189","VMCH-80-000192","VMCH-80-000193","VMCH-80-000194","VMCH-80-000195","VMCH-80-000196","NIST800-53-VI-VC-CFG-00101","VMCH-80-000198","VMCH-80-000214","VMCH-80-000200","VMCH-80-000202","VMCH-80-000203","NIST800-53-VI-VC-CFG-XX105","NIST800-53-VI-VC-CFG-00093","VMCH-80-000206","VMCH-80-000205","NIST800-53-VI-VC-CFG-XX109","VMCH-80-000208","NIST800-53-VI-VC-CFG-X0415","VMCH-80-000201","VMCH-70-000007","VMCH-70-000013","VMCH-67-000014","VMCH-70-000020","VMCH-70-000021","VMCH-70-000025"
"VMware ID","VMCH-80-000204","VMCH-80-000197","NIST800-53-VI-VC-CFG-XX104","NIST800-53-VI-VC-CFG-00065 - 67 & 00156","VMCH-80-000209","VMCH-80-000199","VMCH-80-000191","VMCH-80-000189","VMCH-80-000192","VMCH-80-000193","VMCH-80-000194","VMCH-80-000195","VMCH-80-000196","NIST800-53-VI-VC-CFG-00101","VMCH-80-000198","VMCH-80-000214","VMCH-80-000200","VMCH-80-000202","VMCH-80-000203","NIST800-53-VI-VC-CFG-XX105","NIST800-53-VI-VC-CFG-00093","VMCH-80-000206","VMCH-80-000205","NIST800-53-VI-VC-CFG-XX109","VMCH-80-000208","NIST800-53-VI-VC-CFG-X0415","VMCH-80-000201","VMCH-70-000007","VMCH-70-000013","VMCH-67-000014","VMCH-70-000020","VMCH-70-000021","VMCH-70-000025"
"Priority","P1","P0","P0","P0","P1 - MP-7 Control","P2 - CM-6b","P2","P2","P2","P2","P2","P0","P1","P1","P2","P1","P2","P1","P1","P2","P2","P1","P0","P2","P1","AC-6 Control","P2","CM-6 b","CM-6 b","P1","CM-6 b","CM-6 b","CM-6 b"
"Description","Require encryption for Fault Tolerance logging.","Disable the ability for unprivileged users to connect & disconnect virtual machine devices","An unimplemented parameter on ESXi.","Remove unnecessary virtual hardware devices from the VM.","Unauthorized floppy devices must be disconnected on the virtual machine.","Shared salt values must be disabled on the virtual machine.","Disable drag & drop console functionality.","Explicitly disable console copy operations.","Explicitly disable paste operations.","Disable virtual disk shrinking.","Disable virtual disk wiping.","Limit the number of console connections.","Limit informational messages from the VM to the VMX file.","Disable the ability for unprivileged users to connect & disconnect virtual machine devices","Do not send host information to guests.","Limit PCI device passthrough functionality.","Control access to VMs through the dvfilter network APIs.","Disable 3D features if not needed.","Require encryption during vMotion.","Disable GUI operations in a virtual machine.","Disable drag & drop console functionality.","Limit the number of retained VM diagnostic logs.","Limit the size of VM diagnostic logs.","Limits the virtual machine to VGA graphics.","VMs with Independent non-persistent disks.","The vCenter Server users must have the correct roles assigned.","Lock the VM guest session when the remote console is disconnected.","Host Guest File System (HGFS) file transfers must be disabled on the virtual machine (VM).","By default, more than one user at a time can connect to remote console sessions. When multiple sessions are activated, each terminal window receives a notification about the new session. If an administrator in the VM logs in using a VMware remote console during their session, a nonadministrator in the VM might connect to the console and observe the administrators actions.","An unimplemented parameter on ESXi.","System administrators must use templates to deploy virtual machines (VMs) whenever possible.","The VM console enables a connection to the console of a virtual machine, in effect seeing what a monitor on a physical server would show. The VM console also provides power management and removable device connectivity controls, which could allow a malicious user to bring down a VM. In addition, it impacts performance on the service console, especially if many VM console sessions are open simultaneously check, Remote management services, such as terminal services and Secure Shell (SSH), must be used to interact with VMs.","Logging must be enabled on the virtual machine (VM)."
"Finding","By default a VM uses ""opportunistic"" vMotion encryption, so migrations to another host use encryption if available, but if not it will vMotion without encryption. Setting this to ""required"" ensures that if encryption is not available the vMotion does not proceed.","Users and processes without root or administrator privileges within virtual machines can connect or disconnect devices, such as network adapters and CD-ROM drives, and can modify device settings. This could lead to unauthorized access, disruption of operations, and denial of service.","This parameter may be applicable to other VMware products, but is not applicable to vSphere. It is not implemented on ESXi. Setting or changing this parameter has no effect on security on ESXi.","Ensure that no device is connected to a virtual machine if it is not required. For example, serial and parallel ports are rarely used for virtual machines in a datacenter environment, and CD/DVD drives are usually connected only temporarily during software installation. USB devices, sound cards, and other unnecessary hardware may be introduced with migrations from VMware Workstation, Fusion, or through other tools. Any enabled or connected device represents a potential attack channel, through the possibility of device drivers that contain vulnerabilities, by granting the ability to introduce software or exfiltrate data to or from a protected environment.","If a virtual machine has a floppy drive connected, this is a finding.","If the virtual machine advanced setting ""sched.mem.pshare.salt"" exists, this is a finding.","When this is set to TRUE a user at the console of a VM (Web Console, VMRC, or other) will not be able to drag and drop data between the VM and the local client. As the default is the desired state you can audit by verifying that the parameter is either unset, or that it is set to the suggested value.","When this is set to TRUE a user at the console of a VM (Web Console, VMRC, or other) will not be able to copy data between the VM and the local client. As the default is the desired state you can audit by verifying that the parameter is either unset, or that it is set to the suggested value.","When this is set to TRUE a user at the console of a VM (Web Console, VMRC, or other) will not be able to paste data between the VM and the local client. As the default is the desired state you can audit by verifying that the parameter is either unset, or that it is set to the suggested value.","Repeated disk shrinking can make a virtual disk unavailable. Limited capability is available to non-administrative users in the guest. As the default is the desired state you can audit by verifying that the parameter is either unset, or that it is set to the suggested value.","Repeated disk shrinking can make a virtual disk unavailable. Limited capability is available to non-administrative users in the guest. As the default is the desired state you can audit by verifying that the parameter is either unset, or that it is set to the suggested value.","Multiple users can connect to a single VM console and observe activity. Limiting this to 1 prevents this behavior.","The configuration file containing these name-value pairs is limited to a size of 1 MB by default. This limit is applied even when the sizeLimit parameter is not listed in the .vmx file. Uncontrolled size for the VMX file can lead to denial of service if the datastore is filled.As the default is the desired state you can audit by verifying that the parameter is either unset, or that it is set to the suggested value.","Users and processes without root or administrator privileges within virtual machines can connect or disconnect devices, such as network adapters and CD-ROM drives, and can modify device settings. This could lead to unauthorized access, disruption of operations, and denial of service. As the default is the desired state you can audit by verifying that the parameter is either unset, or that it is set to the suggested value.","By enabling a VM to get detailed information about the physical host, an adversary could potentially use this information to inform further attacks on the host. As the default is the desired state you can audit by verifying that the parameter is either unset, or that it is set to the suggested value.","VThe VMware DirectPath I/O features allow virtual machines to access system hardware directly. This has implications for risk mitigation features such as vMotion, DRS, and High Availability, but also may allow an attacker more privileged access to underlying hardware and the system bus. Ensure that VMs allowed to access hardware directly need this privilege and add compensating controls to ensure the guest OS security.","An attacker might compromise a VM by making use the dvFilter API. Configure only those VMs to use the API that need this access. This setting is considered an ""Audit Only"" guideline. If there is a value present, the admin should check it to ensure it is correct.","It is suggested that 3D be disabled on virtual machines that do not require 3D functionality, (e.g. server or desktops not using 3D applications). This reduces attack surface.","By default a VM uses ""opportunistic"" vMotion encryption, so migrations to another host use encryption if available, but if not it will vMotion without encryption. Setting this to ""required"" ensures that if encryption is not available the vMotion does not proceed.","""Copy and paste operations are disabled by default; however, by explicitly disabling this feature it will enable audit controls to check that this setting is correct. Copy, paste, drag and drop, or GUI copy/paste operations between the guest OS and the remote console could provide the means for an attacker to compromise the VM. As the default is the desired state you can audit by verifying that the parameter is either unset, or that it is set to the suggested value.""","When this is set to TRUE a user at the console of a VM (Web Console, VMRC, or other) will not be able to drag and drop data between the VM and the local client. As the default is the desired state you can audit by verifying that the parameter is either unset, or that it is set to the suggested value.","By default there is a limit of 6 old diagnostic logs. The VMware documentation recommends setting this to 10 to conserve datastore space but also enable troubleshooting should it need to occur.","By default there is no limit on VM diagnostic log sizes, and they are rotated when the VM changes power state or live-migrates using vMotion. On long-running VMs this may consume considerable space. The VMware documentation recommends setting this no lower than 2 MB (measured in KB).","The guidance for this parameter has changed due to serious compatibility issues with modern guest operating systems, versus the limited benefit it provided. Do not set this on new virtual machines. As the default is the desired state you can audit by verifying that the parameter is either unset, or that it is set to the suggested value.","VMs with Independent non-persistent disks.","VMs with Independent non-persistent disks.","An attacker can take advantage of console sessions left logged in.","If the virtual machine advanced setting ""isolation.tools.hgfsServerSet.disable"" does not exist or is not set to ""true"", this is a finding.","If the virtual machine advanced setting ""RemoteDisplay.maxConnections"" does not exist or is not set to ""1"", this is a finding.","This parameter applies to an ESXi feature that is no longer present in this product version. Setting or changing this parameter has no effect on security.","Ask the system administrator if hardened, patched templates are used for VM creation and properly configured operating system deployments, including applications dependent and nondependent on VM-specific configurations.","If a VM console is used to perform VM management tasks other than for troubleshooting VM issues, this is a finding. If SSH and/or terminal management services are exclusively used to perform management tasks, this is not a finding.","logging is not enable"
"Expected Result","ftEncryptionOpportunistic","TRUE","True","Review and disable/remove any unnecessary hardware","Review and disable/remove any unnecessary hardware","Not Set","TRUE","TRUE","TRUE","TRUE","TRUE","1","1048576","TRUE","FALSE","Not Set","TRUE","FALSE","required","FALSE","TRUE","10","10","FALSE","TRUE","TRUE","TRUE","""isolation.tools.hgfsServerSet.disable"" value set to ""true""","Find the ""RemoteDisplay.maxConnections"" value and set it to ""1""","Not Set","This check is a manual or policy based check","This check is a manual or policy based check","Ensure that the checkbox next to ""Enable logging"" is checked."
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"apc-exprt-01","ftEncryptionOpportunistic","Not Set","Not Set","SATA controller 0","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 1","tools.guest.desktop.autolock:FALSE","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"apc-prom-01","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"apcmv1-c1-en1","ftEncryptionOpportunistic","Not Set","Not Set","SATA controller 0","Not Set","Not Set","Not Set","Not Set","Not Set","isolation.tools.diskShrink.disable:true","isolation.tools.diskWiper.disable:true","RemoteDisplay.maxConnections:1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","isolation.tools.vmxDnDVersionGet.disable:true","Not Set","Not Set","Not Set","TRUE","Hard disk 2","Not Set","Not Set","RemoteDisplay.maxConnections:1","Not Set","Not Set","Not Set","Not Set"
